,PC3,PC2,PC1,clusters
0,5.57697699401941,-2.763926406095951,-0.8439557280910265,0
1,-1.9022325749369529,0.9734735568953833,-2.879959107264919,1
2,3.588632722905577,0.33343780040181825,0.7315754105136187,0
3,-5.432955394183754,-2.040951784747593,1.1617777962145022,2
4,-5.793020946263319,-1.7583595730695933,-4.165676795199475,1
5,-2.4844990486300107,-2.482240263754545,0.9946841529518355,2
6,6.2422465270568654,3.5919684583843785,-0.2662637762988561,3
7,8.869003842137689,-0.5302451745703486,0.4126273916370521,0
8,-5.336161448563102,5.346839347528421,0.782678748803153,1
9,-5.554177062559149,-0.7709102351651326,-0.149920232466031,2
10,4.33534710614024,9.437331075816541,7.393291786880632,3
11,-7.160646277839595,0.5935272409018237,-3.2840856302367727,1
12,3.3762436624521186,0.6110184827758218,2.653666824538423,0
13,6.385811860044879,0.8198280903573981,1.166818987926142,3
14,-6.070620299649726,0.8442048830665612,-1.592175347093807,1
15,-3.8559113921985917,0.6967752712917046,0.6774268720818138,1
16,-0.14127346273128497,-2.1598669658990004,0.5968138938157649,2
17,1.6626214474735936,-2.714882212417044,-2.507527298805055,0
18,3.923683939223419,1.2499912940188678,2.5663143911272397,3
19,-0.3822672815000285,-1.4348556725474677,-2.2915843513070158,1
20,-5.755801097953494,3.768589692088125,-2.0330756209245155,1
21,0.7459752664382793,-1.140100857355276,1.1384781303087503,1
22,-7.30561754081602,3.7006726342589102,-2.625607956668901,1
23,0.8817624178083082,-0.5703821601811158,-4.589062743076374,0
24,5.0767024435984185,-1.8776960324843048,-2.226656444041184,0
25,3.895500089872732,2.5572519495070956,2.825800124196256,3
26,-2.9260563327707576,-5.073965169604595,6.649553247716119,2
27,1.866293672343825,2.463564065623116,1.533760908864044,3
28,1.6286373438655162,5.581701470448918,-0.09456837917890479,3
29,-2.9449868522876543,-2.3995014436609012,0.49308833047990935,2
30,4.930922264517797,-7.169346346617079,-4.786362051779416,0
31,4.0258925445451315,4.67622849659974,-1.0714716469675991,3
32,6.0861552258072456,1.8796441766569525,1.06782631303594,3
